party,state,votes,constituency,candidate
Republican Party of India (A),Assam,301,Gauripur,MIR HUSSAIN SARKAR
None of the Above,Assam,1447,Gauripur,None of the Above
Bharatiya Janata Party,Assam,74644,Golakganj,ASHWINI RAY SARKAR
Indian National Congress,Assam,68253,Golakganj,ABDUS SOBAHAN ALI SARKAR
All India United Democratic Front,Assam,16843,Golakganj,SAFER ALI AHMED
Independent,Assam,814,Golakganj,JALAL UDDIN KHAN
None of the Above,Assam,1001,Golakganj,None of the Above
All India United Democratic Front,Assam,44407,BILASIPARA WEST,HAFIZ BASHIR AHMED
Independent,Assam,33205,BILASIPARA WEST,ALI AKBAR MIAH
Indian National Congress,Assam,25515,BILASIPARA WEST,SABANA AKTAR
Asom Gana Parishad,Assam,14688,BILASIPARA WEST,ALI AZOM SHEIKH
Communist Party of India,Assam,6792,BILASIPARA WEST,GIAS UDDIN AHMED
Independent,Assam,5812,BILASIPARA WEST,BIPLAB MUKHERJEE
Independent,Assam,1997,BILASIPARA WEST,ATOWAR HUSSAIN
Independent,Assam,1412,BILASIPARA WEST,SAIFUL ISLAM
Independent,Assam,616,BILASIPARA WEST,SHEIKH MONSHUR RAHMAN
Samajwadi Party,Assam,577,BILASIPARA WEST,MOHAR UDDIN MONDAL
Republican Party of India (A),Assam,498,BILASIPARA WEST,AFZALUR RAHMAN
Jan Congress Party,Assam,492,BILASIPARA WEST,AJMIRA AKTAR
Independent,Assam,486,BILASIPARA WEST,PRAKRITA KUMAR N ATH
Indian Union Muslim League,Assam,250,BILASIPARA WEST,YOUSUB ALI AHMED
None of the Above,Assam,766,BILASIPARA WEST,None of the Above
Bharatiya Janata Party,Assam,59206,BILASIPARA EAST,ASHOK KUMAR SINGHI
Indian National Congress,Assam,54110,BILASIPARA EAST,AMRIT BADSHA
All India United Democratic Front,Assam,43213,BILASIPARA EAST,MOSHLEM UDDIN CHOUDHURY
Independent,Assam,4941,BILASIPARA EAST,ANWAR HUSSAIN
Independent,Assam,1047,BILASIPARA EAST,SIDDIQUE HUSSEIN
Independent,Assam,749,BILASIPARA EAST,AMARENDRA NATH
Independent,Assam,733,BILASIPARA EAST,MARTIAL RUSSEL
Independent,Assam,720,BILASIPARA EAST,NISHIL KUMAR RAY
Independent,Assam,700,BILASIPARA EAST,TRIDIP PATI SINGHA
Samajwadi Party,Assam,500,BILASIPARA EAST,AMZAD HUSSEIN
Independent,Assam,406,BILASIPARA EAST,DR. ASHWIN KUMAR MAHANTA
Republican Party of India (A),Assam,340,BILASIPARA EAST,MOMINUR ALI SHEIKH
None of the Above,Assam,1073,BILASIPARA EAST,None of the Above
Bodoland Peoples Front,Assam,64423,Kokrajhar West,RABIRAM NARZARY
All India United Democratic Front,Assam,47083,Kokrajhar West,DAHIT CHANDRA BRAHMA
Independent,Assam,18629,Kokrajhar West,URKHAO GWRA BRAHMA
Independent,Assam,3545,Kokrajhar West,NILIMA BRAHMA
Independent,Assam,1437,Kokrajhar West,BHADRESWAR BRAHMA
Independent,Assam,1116,Kokrajhar West,MUKUNDA KOCH
Independent,Assam,1044,Kokrajhar West,SUBHADRA NARZARY
Independent,Assam,977,Kokrajhar West,SUJILA BASUMATARY
Independent,Assam,775,Kokrajhar West,ARUNA BRAHMA
Independent,Assam,627,Kokrajhar West,RANJOY KR. BRAHMA
None of the Above,Assam,1285,Kokrajhar West,None of the Above
Bodoland Peoples Front,Assam,45517,Gossaigaon,MAJENDRA NARZARY
All India United Democratic Front,Assam,39476,Gossaigaon,RAVI SANKAR KASIREDDY
Indian National Congress,Assam,32187,Gossaigaon,ASHIM HASDA
Independent,Assam,17924,Gossaigaon,SOMNATH NARZARY
Independent,Assam,3786,Gossaigaon,WILSON HASDA
Republican Party of India (A),Assam,1199,Gossaigaon,MITHUN NATH
Independent,Assam,969,Gossaigaon,RAJENDRA MUSHAHARY
None of the Above,Assam,1482,Gossaigaon,None of the Above
Bodoland Peoples Front,Assam,76496,Kokrajhar East,PRAMILA RANI BRAHMA
Independent,Assam,36405,Kokrajhar East,PRATIBHA BRAHMA
All India United Democratic Front,Assam,12588,Kokrajhar East,MANU BORGAYARY
Independent,Assam,6994,Kokrajhar East,BASANTA KUMAR MEDHI
Independent,Assam,1816,Kokrajhar East,AJAY KUMAR NARZARY
Independent,Assam,1642,Kokrajhar East,RAJESH NARZARY
None of the Above,Assam,2288,Kokrajhar East,None of the Above
Bodoland Peoples Front,Assam,66037,Sidli ,CHANDAN BRAHMA
Independent,Assam,57049,Sidli ,RWNGWRA NARZARY
Independent,Assam,21601,Sidli ,DILIP KUMAR SARANIA
All India United Democratic Front,Assam,8083,Sidli ,PANKAJ ISLARY
Independent,Assam,1548,Sidli ,PHALMARSTON BRAHMA
None of the Above,Assam,2929,Sidli ,None of the Above
All India United Democratic Front,Assam,51525,Abhayapuri South (SC),ANANTA KUMAR MALO
Indian National Congress,Assam,51334,Abhayapuri South (SC),CHANDAN KUMAR SARKAR
Asom Gana Parishad,Assam,50957,Abhayapuri South (SC),RABIN BANIKYA
Independent,Assam,1602,Abhayapuri South (SC),NIRMALENDU BANIKYA
Republican Party of India (A),Assam,1304,Abhayapuri South (SC),ASHOK DUTTA
Jan Congress Party,Assam,694,Abhayapuri South (SC),DHIREN MAJUMDAR
None of the Above,Assam,1113,Abhayapuri South (SC),None of the Above
Asom Gana Parishad,Assam,77292,Bongaigaon,PHANI BHUSAN CHOUDHURY
Indian National Congress,Assam,45972,Bongaigaon,SHANKAR PRASAD RAY
Independent,Assam,7087,Bongaigaon,DR. ITESH BORDOLOI
Independent,Assam,1902,Bongaigaon,DHIRABATI CHOUDHURY
Independent,Assam,1404,Bongaigaon,PRABHAT BAISNAB
Independent,Assam,1099,Bongaigaon,FULBAR ALI MOLYA
Independent,Assam,815,Bongaigaon,DEEPAK KUMAR DAS
None of the Above,Assam,2376,Bongaigaon,None of the Above
Bodoland Peoples Front,Assam,29240,Bijni,KAMALSHING NARZARY
Bharatiya Gana Parishad,Assam,27562,Bijni,AJAY KUMAR RAY
Independent,Assam,19350,Bijni,SANTOSH KHAKHLARY
All India United Democratic Front,Assam,18197,Bijni,KAMALESWAR RAY
Independent,Assam,12619,Bijni,KHALILUR RAHMAN
Communist Party of India  (Marxist),Assam,5991,Bijni,GAJENDRA BARMAN
Indian National Congress,Assam,3861,Bijni,BISWAJIT RAY
Jharkhand Disom Party,Assam,1236,Bijni,PHILIP MARANDI
None of the Above,Assam,1306,Bijni,None of the Above
Indian National Congress,Assam,48354,Abhayapuri North,ABDUL HAI NAGORI
Asom Gana Parishad,Assam,46211,Abhayapuri North,BHUPEN ROY
All India United Democratic Front,Assam,32699,Abhayapuri North,ABDUL BATIN KHANDAKAR
Independent,Assam,3968,Abhayapuri North,SWAPAN MUKHERJEE
Communist Party of India  (Marxist),Assam,3315,Abhayapuri North,TAREN CHANDRA RAY
Republican Party of India (A),Assam,836,Abhayapuri North,BHAGIRATH RAY
Independent,Assam,501,Abhayapuri North,SAMSUL HOQUE
None of the Above,Assam,803,Abhayapuri North,None of the Above
Bharatiya Janata Party,Assam,79983,Dudhnai,DIPAK KUMAR RABHA
Indian National Congress,Assam,51316,Dudhnai,SIBCHARAN BASUMATARY
All India United Democratic Front,Assam,11305,Dudhnai,MEERA BASUMATARY
Independent,Assam,7278,Dudhnai,KANGKAN KHAKHALARY
Independent,Assam,2936,Dudhnai,DEBEN DAIMARY
Communist Party of India,Assam,1567,Dudhnai,BHUPENDRA RABHA
Independent,Assam,1413,Dudhnai,THARMAN MOMIN
