status,votes,candidate,state,party,constituency
Result Declared  ,50956,KHALIL UDDIN MAZUMDER,Assam,All India United Democratic Front,Katigorah
Result Declared  ,16418,ATAUR RAHMAN MAZARBHUIYA,Assam,Indian National Congress,Katigorah
Result Declared  ,1949,TRAYABASHI DAS,Assam,Independent,Katigorah
Result Declared  ,1372,MOINUL HOQUE,Assam,Communist Party of India,Katigorah
Result Declared  ,222,BINAYAK DEB,Assam,Independent,Algapur
Result Declared  ,179,KAZI MUZAKKIR HUSSAIN,Assam,Independent,Algapur
Result Declared  ,173,SALEH AHMED MAZUMDER,Assam,Independent,Algapur
Result Declared  ,768,None of the Above,Assam,None of the Above,Algapur
Result Declared  ,906,SAMUJJAL DAS,Assam,Independent,Katigorah
Result Declared  ,826,HANIF ALOM MAZARBHUIYA,Assam,Independent,Katigorah
Result Declared  ,552,ALA UDDIN CHOUDHURY,Assam,Samajwadi Party,Katigorah
Result Declared  ,541,SALEH AHMED TALUKDAR,Assam,Independent,Katigorah
Result Declared  ,425,ARUN KARMAKAR,Assam,Independent,Katigorah
Result Declared  ,356,RAFIQUE UZZAMAN LASKAR,Assam,Independent,Katigorah
Result Declared  ,284,MAHENDRA SINHA,Assam,Independent,Katigorah
Result Declared  ,273,SUJATA SINHA,Assam,Jan Congress Party,Katigorah
Result Declared  ,184,DIPAK LAL DAS,Assam,Independent,Katigorah
Result Declared  ,906,None of the Above,Assam,None of the Above,Katigorah
Result Declared  ,44236,AMINUL HAQUE LASKAR,Assam,Bharatiya Janata Party,Sonai
Result Declared  ,36683,ANAMUL HAQUE,Assam,Indian National Congress,Sonai
Result Declared  ,32109,KARIM UDDIN BARBHUIYA,Assam,All India United Democratic Front,Sonai
Result Declared  ,2987,IBUNGOBI SINGHA,Assam,Independent,Sonai
Result Declared  ,2408,ANWAR HUSSAIN LASKAR,Assam,Independent,Sonai
Result Declared  ,943,SANJIB KUMAR DAS,Assam,Independent,Sonai
Result Declared  ,598,SANTOSH DAS,Assam,Independent,Sonai
Result Declared  ,579,REJAUL ISLAM BARBHUIYA,Assam,Independent,Sonai
Result Declared  ,522,PRANESH NATH,Assam,Lok Jan Shakti Party,Sonai
Result Declared  ,401,MANINDRA CHANDRA DAS,Assam,Samajwadi Party,Sonai
Result Declared  ,401,JAWAHAR LAL GOALA,Assam,Independent,Sonai
Result Declared  ,306,MAKSUS AHMED LASKAR,Assam,Independent,Sonai
Result Declared  ,1292,None of the Above,Assam,None of the Above,Sonai
Result Declared  ,60135,RAJDEEP GOALA,Assam,Indian National Congress,Lakhipur
Result Declared  ,35768,THOIBA SINGHA,Assam,Bharatiya Janata Party,Lakhipur
Result Declared  ,8923,LALTHOMLIEN HMAR,Assam,Janata Dal  (United),Lakhipur
Result Declared  ,1346,JOY SINGH CHATRI,Assam,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),Lakhipur
Result Declared  ,741,SANJAY KUMAR THAKUR,Assam,Independent,Lakhipur
Result Declared  ,660,AJMUL HUSSAIN LASKAR,Assam,Independent,Lakhipur
Result Declared  ,456,UJJAL DHUBI,Assam,Independent,Lakhipur
Result Declared  ,1309,None of the Above,Assam,None of the Above,Lakhipur
Result Declared  ,58060,AZIZ AHMED KHAN,Assam,All India United Democratic Front,Karimganj South
Result Declared  ,53644,SIDDEQUE AHMED,Assam,Indian National Congress,Karimganj South
Result Declared  ,11861,SIPRA GOON,Assam,Bharatiya Janata Party,Karimganj South
Result Declared  ,815,MONARUL HAQUE,Assam,Independent,Karimganj South
Result Declared  ,592,MOSUD AHMED,Assam,Independent,Karimganj South
Result Declared  ,391,AZIR UDDIN,Assam,Independent,Karimganj South
Result Declared  ,366,MOIN UDDIN,Assam,Independent,Karimganj South
Result Declared  ,265,MAYNUL HAQUE,Assam,Independent,Karimganj South
Result Declared  ,264,SUFIAN AHMED,Assam,Independent,Karimganj South
