status,leading party,leading candidate,trailing party,trailing candidate,constituency,margin,const. no.
Result Declared,Bharatiya Janata Party,SHRI PIJUSH HAZARIKA,Indian National Congress,SHRI BIBEKANANDA DALAI,Jagiroad,28326                                             ,79
Result Declared,Bharatiya Janata Party,ASHOK KUMAR SINGHI,Indian National Congress,AMRIT BADSHA,BILASIPARA EAST,5096                                              ,27
Result Declared,All India United Democratic Front,HAFIZ BASHIR AHMED,Independent,ALI AKBAR MIAH,BILASIPARA WEST,11202                                             ,26
Result Declared,Bodoland Peoples Front,CHANDAN BRAHMA,Independent,RWNGWRA NARZARY,Sidli ,8988                                              ,31
Result Declared,Bharatiya Janata Party,SRI DILIP KUMAR PAUL,Indian National Congress,BITHIKA DEV,Silchar,39920                                             ,9
Result Declared,Bharatiya Janata Party,BINANDA KUMAR SAIKIA,Indian National Congress,DR ZOII NATH SARMAH,Sipajhar,12175                                             ,66
Result Declared,Bharatiya Janata Party,AMINUL HAQUE LASKAR,Indian National Congress,ANAMUL HAQUE,Sonai,7553                                              ,10
Result Declared,Bharatiya Janata Party,TOPON KUMAR GOGOI,Indian National Congress,SARAT BARKATAKY,Sonari,24117                                             ,106
Result Declared,Bharatiya Janata Party,PADMA HAZARIKA,Indian National Congress,PRANESWAR BASUMATARY,Sootea,1818                                              ,75
Result Declared,Bharatiya Janata Party,RANJEET KUMAR DASS,Indian National Congress,ANURUPA HANNAN,Sorbhog,19526                                             ,40
Result Declared,Bodoland Peoples Front,EMMANUEL MOSAHARY,Indian National Congress,RABINDRA BISWAS,Tamulpur,19947                                             ,58
Result Declared,Asom Gana Parishad,RENUPOMA RAJKHOWA,Indian National Congress,PALLABI SAIKIA GOGOI,Teok,5049                                              ,102
Result Declared,Asom Gana Parishad,BRINDABAN GOSWAMI,Indian National Congress,HIRANYA BHUYAN,Tezpur,34663                                             ,73
Result Declared,Indian National Congress,ABDUL HAI NAGORI,Asom Gana Parishad,BHUPEN ROY,Abhayapuri North,2143                                              ,34
Result Declared,All India United Democratic Front,ANANTA KUMAR MALO,Indian National Congress,CHANDAN KUMAR SARKAR,Abhayapuri South (SC),191                                               ,35
Result Declared,All India United Democratic Front,NIZAM UDDIN CHOUDHURY,Bharatiya Janata Party,KAUSHIK RAI,Algapur,17754                                             ,8
Result Declared,Asom Gana Parishad,PRODIP HAZARIKA,Indian National Congress,ANGKITA DUTTA,Amguri,1620                                              ,103
Result Declared,Indian National Congress,JAMAL UDDIN AHMED,All India United Democratic Front,ABDUL AZIZ,Badarpur,2088                                              ,5
Result Declared,Indian National Congress,SHERMAN ALI AHMED,All India United Democratic Front,SHEIKH ABDUL HAMID,Baghbar,43433                                             ,45
Result Declared,Indian National Congress,DR.MANSING RONGPI,Bharatiya Janata Party,ARUN TERANG,Baithalangso,9519                                              ,20
Result Declared,Bodoland Peoples Front,MANESWAR BRAHMA,Independent,REKHA RANI DAS BORO,Barama,9796                                              ,62
Result Declared,Bharatiya Janata Party,GANESH KUMAR LIMBU,Indian National Congress,TANKA BAHADUR RAI,Barchalla,23682                                             ,72
Result Declared,Asom Gana Parishad,SRI PRAFULLA KUMAR MAHANTA,Indian National Congress,SURESH BORA,Barhampur,5169                                              ,87
Result Declared,Bharatiya Janata Party,KUSHAL DOWARI,Indian National Congress,SUSHANTA BORGOHAIN,Thowra,1226                                              ,107
Result Declared,Bharatiya Janata Party,BIMAL BORAH,Indian National Congress,ATUWA MUNDA,Tingkhong,18338                                             ,119
Result Declared,Bharatiya Janata Party,SANJOY KISHAN,Indian National Congress,RAJENDRA PRASAD SINGH,Tinsukia,35069                                             ,122
Result Declared,Indian National Congress,TARUN GOGOI,Bharatiya Janata Party,KAMAKHYA PRASAD TASA,Titabar,17495                                             ,100
Result Declared,Bodoland Peoples Front,RIHON DAIMARI,Independent,ANJALI PRABHA DAIMARI,Udalguri,24374                                             ,69
Result Declared,Bharatiya Janata Party,MIHIR KANTI SHOME,Indian National Congress,AJIT SINGH,Udharbond,8606                                              ,12
Result Declared,Asom Gana Parishad,NAREN SONOWAL (BOTALI),Indian National Congress,PRANATEE PHUKAN,Naharkatia,3531                                              ,120
Result Declared,Bharatiya Janata Party,ASHOK SARMA,Indian National Congress,PRADYUT KUMAR BHUYAN,Nalbari,53044                                             ,59
Result Declared,All India United Democratic Front,MAMUN IMDADUL HAQUE CHAWDHURY,Bharatiya Janata Party,RAO GAJENDRA SINGH,Naoboicha,1233                                              ,110
Result Declared,Indian National Congress,DEBABRATA SAIKIA,Bharatiya Janata Party,PROHLAD GOWALA,Nazira,14855                                             ,104
Result Declared,Bharatiya Janata Party,RUPAK SARMAH,Indian National Congress,DR. DURLAV CHAMUA,Nowgong,13264                                             ,86
Result Declared,Bharatiya Janata Party,SRI PRANAB KALITA,Indian National Congress,NABAJYOTI TALUKDAR,Palasbari,48742                                             ,50
Result Declared,Bodoland Peoples Front,KAMALI BASUMATARI,Independent,NANDA RAM BARO,Panery,15802                                             ,64
Result Declared,Asom Gana Parishad,PABINDRA DEKA,Indian National Congress,SAILEN KALITA,Patacharkuchi,51976                                             ,42
Result Declared,Bharatiya Janata Party,KRISHNENDU PAUL,All India United Democratic Front,DEBENDRA KUMAR SINHA,Patharkandi,9268                                              ,2
Result Declared,Bharatiya Janata Party,DIMBESWAR DAS,Indian National Congress,SASHI KANTA DAS,Raha,33074                                             ,82
Result Declared,All India United Democratic Front,SAHAB UDDIN AHMED,Independent,AFTAB UDDIN MOLLAH,Jaleswar,6662                                              ,39
Result Declared,Bharatiya Janata Party,HIMANTA BISWA SARMA,Indian National Congress,NIREN DEKA,Jalukbari,85935                                             ,51
Result Declared,All India United Democratic Front,ABDUR RAHIM AJMAL,Independent,REJAUL KARIM CHOWDHURY,Jamunamukh,13205                                             ,90
Result Declared,Indian National Congress,ABDUL KHALEQUE,All India United Democratic Front,RAFIQUL ISLAM,Jania,29736                                             ,44
Result Declared,Independent,BHUBON PEGU,Bharatiya Janata Party,ASWINI PAIT,Jonai,49293                                             ,114
Result Declared,Bharatiya Janata Party,HITENDRA NATH GOSWAMI,Indian National Congress,RANA GOSWAMI,Jorhat,13638                                             ,98
Result Declared,Bodoland Peoples Front,MAHESWAR BARO,All India United Democratic Front,NATHU RAM BORO,Kalaigaon,17621                                             ,65
Result Declared,Asom Gana Parishad,KESHAB MAHANTA,Indian National Congress,BINDU GANJU,Kaliabor,37990                                             ,89
Result Declared,Asom Gana Parishad,SATYABRAT KALITA,Indian National Congress,PRANJIT CHOUDHURY,Kamalpur,36909                                             ,56
Result Declared,Indian National Congress,KAMALAKHYA DEY PURKAYASTHA,Bharatiya Janata Party,MISSION RANJAN DAS,Karimganj North,468                                               ,3
